Date,Price,Open,High,Low,Vol.,Change %
"Aug 30, 2019","25,610.00","25,660.00","25,935.00","25,412.00",221.21K,0.28%
"Aug 29, 2019","25,539.00","25,614.00","25,681.00","25,377.00",37.77K,-0.35%
"Aug 28, 2019","25,629.00","25,655.00","25,864.00","25,556.00",169.40K,-0.09%
"Aug 27, 2019","25,651.00","25,700.00","25,878.00","25,533.00",236.86K,-0.04%
"Aug 26, 2019","25,661.00","26,102.00","26,122.00","25,156.00",315.42K,-1.73%
"Aug 23, 2019","26,113.00","25,950.00","26,187.00","25,810.00",169.22K,0.61%
"Aug 22, 2019","25,955.00","26,238.00","26,305.00","25,903.00",190.74K,-1.05%
"Aug 21, 2019","26,231.00","26,200.00","26,271.00","26,014.00",167.53K,0.06%
"Aug 20, 2019","26,215.00","26,198.00","26,380.00","26,051.00",185.70K,0.09%
"Aug 19, 2019","26,191.00","25,686.00","26,280.00","25,535.00",189.39K,2.18%
"Aug 16, 2019","25,632.00","25,387.00","25,733.00","25,105.00",250.90K,0.80%
"Aug 15, 2019","25,428.00","25,161.00","25,475.00","24,791.00",260.66K,0.86%
"Aug 14, 2019","25,210.00","25,190.00","25,905.00","25,053.00",243.53K,0.00%
"Aug 13, 2019","25,211.00","25,548.00","25,548.00","25,163.00",219.38K,-1.37%
"Aug 12, 2019","25,560.00","25,894.00","26,011.00","25,550.00",181.96K,-1.28%
"Aug 09, 2019","25,891.00","26,038.00","26,206.00","25,820.00",175.14K,-0.49%
"Aug 08, 2019","26,019.00","25,946.00","26,246.00","25,595.00",216.73K,0.29%
"Aug 07, 2019","25,943.00","25,973.00","26,085.00","25,634.00",234.83K,-0.11%
"Aug 06, 2019","25,971.00","26,023.00","26,118.00","25,219.00",321.99K,-0.24%
"Aug 05, 2019","26,033.00","26,803.00","26,880.00","25,999.00",265.53K,-2.93%
"Aug 02, 2019","26,818.00","27,458.00","27,660.00","26,688.00",215.40K,-2.28%
"Aug 01, 2019","27,445.00","27,525.00","27,685.00","27,401.00",168.54K,-1.12%
"Jul 31, 2019","27,757.00","28,109.00","28,109.00","27,632.00",171.84K,-1.57%
"Jul 30, 2019","28,201.00","28,128.00","28,253.00","28,062.00",27.19K,0.23%
"Jul 29, 2019","28,135.00","28,388.00","28,427.00","27,937.00",200.78K,-0.88%
"Jul 26, 2019","28,385.00","28,582.00","28,663.00","28,311.00",228.93K,-0.70%
"Jul 25, 2019","28,586.00","28,524.00","28,652.00","28,490.00",174.30K,0.18%
"Jul 24, 2019","28,536.00","28,476.00","28,774.00","28,441.00",170.54K,0.27%
"Jul 23, 2019","28,459.00","28,362.00","28,489.00","28,290.00",144.45K,0.30%
